Kịch bản,Welfare,Y_2035,C bình quân,Tổng đầu tư K,Tổng đầu tư D,Tổng đầu tư AI,Tổng đầu tư H,Ghi chú
Tối ưu gốc SLSQP,81.067283,9395.17677,10501.234629,1395.547405,0.0,0.0,0.0,Mô hình gốc của đề; có thể tạo nghiệm góc nếu không có ràng buộc chính sách bổ sung.
Mở rộng có sàn D/AI/H,80.519556,9672.436389,9861.816536,610.610766,2681.858814,2145.487051,3218.230577,"Bảng bổ sung cho báo cáo: mỗi năm có sàn share_D=2.5%, share_AI=2.0%, share_H=3.0%."
