sector_id,Ngành,x_AI (tỷ VND),x_H đào tạo lại (tỷ VND),"x_D (tỷ VND, mặc định 0)",Tổng đầu tư ngành,NewJob_AI,NewJob_D,NewJob_total,UpgradeJob,DisplacedJob,RetrainingCapacity,NetJob,NetJob >= 0?,Đào tạo đủ cho displaced?
1,Nông-Lâm-Thủy sản,0.0,7500.0,0.0,7500.0,0.0,0.0,0.0,337500.0,0.0,375000.0,337500.0,True,True
2,CN chế biến chế tạo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
3,Xây dựng,0.0,6629.188,0.0,6629.188,0.0,0.0,0.0,232021.58,0.0,278425.896,232021.58,True,True
4,Bán buôn-bán lẻ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
5,Tài chính-Ngân hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
6,Logistics-Vận tải,2593.4066,1079.1453,0.0,3672.5519,73912.0881,0.0,73912.0881,32374.359,38849.2309,38849.2308,67437.2162,True,True
7,CNTT-Truyền thông,3406.5934,1291.6667,0.0,4698.2601,212912.0875,0.0,212912.0875,25833.334,30999.9999,31000.0008,207745.4216,True,True
8,Giáo dục-Đào tạo,0.0,7500.0,0.0,7500.0,0.0,0.0,0.0,412500.0,0.0,465000.0,412500.0,True,True
