Mô hình,Hạng mục,Tên hạng mục,x first-stage,Tỷ trọng trong 65.000 (%)
SP,I,Hạ tầng số,0.0,0.0
SP,D,Chuyển đổi số,0.0,0.0
SP,AI,Trí tuệ nhân tạo,65000.0,100.0
SP,H,Nhân lực số,0.0,0.0
