Chỉ tiêu,Nghiệm thỏa hiệp,Nghiệm tăng trưởng cao nhất,% hi sinh / tăng thêm so với thỏa hiệp
Bất bình đẳng vùng - Inequality_MAD,0.18595042795727712,0.2527549074842743,35.92596169896732
Phát thải - Emission,1227.499095520087,5071.2688077391,313.1382928303032
Rủi ro an ninh dữ liệu ròng,-4500.946244375787,-296.9335038341833,93.40286491523376
