Chính sách,Reward tích lũy,Reward bình quân/năm,GDP growth bình quân (%),D cuối kỳ,AI cuối kỳ,H cuối kỳ,Rủi ro thất nghiệp cuối kỳ,Hành động đầu tiên
Q-learning π*,6.879485118766111,0.6879485118766111,0.6540921037840008,40.3,136.0,46.25504724850323,0.11125387664773329,a4 - Bao trùm
Rule a1 - Cân bằng,-1.641171874438547,-0.1641171874438547,0.8869763063895679,45.3,161.0,36.693254749383684,0.35324358401489697,a1 - Cân bằng
Random trung bình 100 lần,-2.516611954381499,-0.5685213970863745,0.661140314068251,45.06000000000001,178.275,36.8747618969812,0.3776866811555244,Ngẫu nhiên
Rule a3 - AI dẫn dắt,-13.042413153178986,-1.3042413153178984,1.0399797902066283,40.3,311.0,34.3028066246038,0.6509698821310708,a3 - AI dẫn dắt
